method,year_month,q,q_label,estimate,lower_95,upper_95,accepted_event_species,diversity,method_label,method_class,result_type
Primary_M3,2022-09,2,q = 2: Inverse Simpson,4.385360455360969,4.10561447536096,4.6598989731539815,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-10,0,q = 0: Richness,64,56,72,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-10,1,q = 1: Exponential Shannon,6.840491985935147,6.233752740727834,7.414779057904594,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-10,2,q = 2: Inverse Simpson,3.935468088596486,3.665698591569257,4.185194107399265,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-11,0,q = 0: Richness,50,43,57,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-11,1,q = 1: Exponential Shannon,6.589443304234722,5.947933610993967,7.247743575247615,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-11,2,q = 2: Inverse Simpson,3.2906193420765995,3.0038611049247246,3.5951673060268883,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-12,0,q = 0: Richness,40,33,46,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-12,1,q = 1: Exponential Shannon,6.190843304014422,5.458773333729292,6.97667753532507,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2022-12,2,q = 2: Inverse Simpson,3.076504008460872,2.752127777344277,3.3978380658486596,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-01,0,q = 0: Richness,40,35,47,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-01,1,q = 1: Exponential Shannon,6.391358954513024,5.698989665788652,7.089788255871321,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-01,2,q = 2: Inverse Simpson,3.378237352675357,3.0761041702784224,3.67752918704849,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-02,0,q = 0: Richness,60,53,67,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-02,1,q = 1: Exponential Shannon,6.133644619722686,5.556564041137566,6.708239055138694,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-02,2,q = 2: Inverse Simpson,3.2060250172482414,2.986637739638037,3.4468604429140886,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-03,0,q = 0: Richness,69,61,77,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-03,1,q = 1: Exponential Shannon,7.783458113816978,7.141753483026523,8.4031548883706,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-03,2,q = 2: Inverse Simpson,4.440713222313189,4.169815626952865,4.691355722404761,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-04,0,q = 0: Richness,82,74,92,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-04,1,q = 1: Exponential Shannon,11.893700018688644,10.896013423415283,12.825653040748108,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-04,2,q = 2: Inverse Simpson,6.9242353692752605,6.358121845965052,7.455292373796893,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-05,0,q = 0: Richness,80,70,89,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-05,1,q = 1: Exponential Shannon,10.109917411936156,9.346019697381646,10.88651280112465,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-05,2,q = 2: Inverse Simpson,5.9096174227906495,5.575000624972628,6.2165527517711645,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-06,0,q = 0: Richness,79,70,88,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-06,1,q = 1: Exponential Shannon,7.249416257343754,6.541442909004715,8.132310727466265,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-06,2,q = 2: Inverse Simpson,3.776591238540175,3.5025735687939346,4.188110750478752,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-07,0,q = 0: Richness,61,54,70,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-07,1,q = 1: Exponential Shannon,11.095320592102578,9.737985992804411,12.939832126197096,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-07,2,q = 2: Inverse Simpson,5.510201738584267,4.805326765966733,6.800983932955736,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-08,0,q = 0: Richness,20,16,25,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-08,1,q = 1: Exponential Shannon,10.619145384701902,8.94719195235206,12.273443615964595,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-08,2,q = 2: Inverse Simpson,7.35486751442681,6.210137482055555,8.393395826660338,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-10,0,q = 0: Richness,35,30,40,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-10,1,q = 1: Exponential Shannon,11.285193646725972,9.656628666269594,12.767977009954244,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-10,2,q = 2: Inverse Simpson,6.2230845439930595,5.393570135790187,7.0189798889442585,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-11,0,q = 0: Richness,36,30,41,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-11,1,q = 1: Exponential Shannon,14.484418761965905,12.502070753981988,16.862418724895214,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-11,2,q = 2: Inverse Simpson,8.618874485612,7.4005453427892185,10.10461945493617,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-12,0,q = 0: Richness,26,22,31,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-12,1,q = 1: Exponential Shannon,9.697121696143242,7.882320830542966,11.761324019136186,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2023-12,2,q = 2: Inverse Simpson,4.591992206256946,3.811218546454862,5.718723016357551,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-01,0,q = 0: Richness,26,22,30,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-01,1,q = 1: Exponential Shannon,10.417251165997529,9.13255783802883,11.843549774861081,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-01,2,q = 2: Inverse Simpson,6.465290449586066,5.6899736851790506,7.4126930385093655,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-02,0,q = 0: Richness,47,40,54,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-02,1,q = 1: Exponential Shannon,8.58332950123917,7.654537845934463,9.831797539377344,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-02,2,q = 2: Inverse Simpson,4.087542633437041,3.6927997604232186,4.734422379805179,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-03,0,q = 0: Richness,66,58,74,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-03,1,q = 1: Exponential Shannon,9.97935271460506,9.218538511638544,10.878451053335775,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-03,2,q = 2: Inverse Simpson,6.122666221593212,5.679676419189503,6.712458876980535,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-04,0,q = 0: Richness,56,49,63,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-04,1,q = 1: Exponential Shannon,7.600025081616561,6.9434506817279935,8.371633002109517,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,2024-04,2,q = 2: Inverse Simpson,4.631815206277359,4.350144228510964,4.975176481450267,,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M2,2021-12,0,q = 0: Richness,28,24,32,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2021-12,1,q = 1: Exponential Shannon,8.84512170263201,7.531582200487383,10.181666772316131,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2021-12,2,q = 2: Inverse Simpson,4.511001561899946,3.973234816627307,5.13966091754029,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-01,0,q = 0: Richness,48,42,54,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-01,1,q = 1: Exponential Shannon,9.344826706145158,8.563721902916196,10.284929541933339,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-01,2,q = 2: Inverse Simpson,4.281522043684257,3.957110316501681,4.65159759672283,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-02,0,q = 0: Richness,51,45,56,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-02,1,q = 1: Exponential Shannon,14.184760723811909,12.906151961395615,15.675212992518915,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-02,2,q = 2: Inverse Simpson,7.222409766728314,6.596645349979569,7.913839138992927,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-08,0,q = 0: Richness,29,24,34,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-08,1,q = 1: Exponential Shannon,14.447366745746882,12.467528186208218,16.38991828539502,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-08,2,q = 2: Inverse Simpson,9.313669411548382,8.156927865485816,10.534402159317125,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-09,0,q = 0: Richness,76,68.34166666666667,84,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-09,1,q = 1: Exponential Shannon,9.513678102470763,9.077286488984837,9.956464608725415,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-09,2,q = 2: Inverse Simpson,5.018937547141495,4.858817676607414,5.192603813345482,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-10,0,q = 0: Richness,78,71,84,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-10,1,q = 1: Exponential Shannon,8.742264028180482,8.351112113995274,9.163374632568775,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-10,2,q = 2: Inverse Simpson,4.439959368981151,4.294354065477459,4.589078132127686,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-11,0,q = 0: Richness,60,54.34166666666667,66,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-11,1,q = 1: Exponential Shannon,8.183297514578943,7.736633547460631,8.590455139679282,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-11,2,q = 2: Inverse Simpson,3.7431662758013893,3.5891570966739623,3.90695720734054,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-12,0,q = 0: Richness,48,42,54,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-12,1,q = 1: Exponential Shannon,7.949785759535913,7.335750205525724,8.634737806586404,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2022-12,2,q = 2: Inverse Simpson,3.5946967104480496,3.3640301840953617,3.8501666529414376,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-01,0,q = 0: Richness,48,41,53,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-01,1,q = 1: Exponential Shannon,7.842529771929563,7.231017043716789,8.449816839330245,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-01,2,q = 2: Inverse Simpson,3.7254616715229467,3.4861718375444295,3.956366755433102,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-02,0,q = 0: Richness,72,66,78,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-02,1,q = 1: Exponential Shannon,7.7955601120225175,7.4049821865771435,8.221222247675826,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-02,2,q = 2: Inverse Simpson,3.634407651061018,3.508426496578207,3.777148770021877,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-03,0,q = 0: Richness,82,75,90,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-03,1,q = 1: Exponential Shannon,9.47605566035725,9.087228367777037,9.837004152294783,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-03,2,q = 2: Inverse Simpson,4.971131224247724,4.833382678225872,5.105393457179322,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-04,0,q = 0: Richness,101,94,109,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-04,1,q = 1: Exponential Shannon,14.95308750228337,14.34198655509135,15.508237331318682,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-04,2,q = 2: Inverse Simpson,7.7873847866245605,7.502285013173299,8.048833060158826,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-05,0,q = 0: Richness,97,89,105,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-05,1,q = 1: Exponential Shannon,10.821824051521741,10.386875430149015,11.280824069036287,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-05,2,q = 2: Inverse Simpson,5.4944022831380845,5.296669361117986,5.700368048307888,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-06,0,q = 0: Richness,96,88,104,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-06,1,q = 1: Exponential Shannon,10.514462284285537,10.11871269176151,10.94438622022042,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-06,2,q = 2: Inverse Simpson,4.993611193978995,4.852045447759774,5.144695569419503,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-07,0,q = 0: Richness,73,67,79,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-07,1,q = 1: Exponential Shannon,17.755466218477387,16.595817269456035,19.112513766691947,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-07,2,q = 2: Inverse Simpson,8.278730935707028,7.675265245103131,8.963966406947135,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-08,0,q = 0: Richness,25,21,29,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-08,1,q = 1: Exponential Shannon,14.186076136370524,11.984451295579095,16.559465811954766,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-08,2,q = 2: Inverse Simpson,9.370297334078138,7.830182653586766,11.193824325404371,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-10,0,q = 0: Richness,40,35,45,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-10,1,q = 1: Exponential Shannon,14.278512860152478,12.892396067860297,15.70466732327339,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-10,2,q = 2: Inverse Simpson,7.732213827266106,7.040137473838115,8.54443186310954,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-11,0,q = 0: Richness,42,37,47,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-11,1,q = 1: Exponential Shannon,20.18974733161297,17.90146127500065,22.470462530235686,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-11,2,q = 2: Inverse Simpson,11.984148379238874,10.456551306538147,13.824095778485908,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-12,0,q = 0: Richness,30,25,35,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-12,1,q = 1: Exponential Shannon,13.192593799632354,11.070987860381347,15.520828954542601,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2023-12,2,q = 2: Inverse Simpson,6.158948148578,5.050627761671867,7.487659516446364,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-01,0,q = 0: Richness,30,25,34.6583333333333,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-01,1,q = 1: Exponential Shannon,13.212383682835217,11.512132969164849,14.960490016193837,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-01,2,q = 2: Inverse Simpson,7.976807181269839,6.86200621093516,9.17531777040756,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-02,0,q = 0: Richness,56,50,63,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-02,1,q = 1: Exponential Shannon,10.693216918727463,9.929564185266715,11.681746503243744,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-02,2,q = 2: Inverse Simpson,4.417337382179543,4.145683659069754,4.760463131962543,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-03,0,q = 0: Richness,80,73,87,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-03,1,q = 1: Exponential Shannon,12.391797346201983,11.849136727282982,12.920775404206495,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-03,2,q = 2: Inverse Simpson,7.140927121740161,6.921036957711328,7.362633551885841,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-04,0,q = 0: Richness,63,56,69,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-04,1,q = 1: Exponential Shannon,8.786733980767576,8.329833468576817,9.224039593269147,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,2024-04,2,q = 2: Inverse Simpson,4.879595034014596,4.702214785580608,5.042734786165416,,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Audio_only,2021-12,0,q = 0: Richness,28,24,32,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2021-12,1,q = 1: Exponential Shannon,8.14268052889269,7.104898370972819,9.19402550167955,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2021-12,2,q = 2: Inverse Simpson,4.350102760749049,3.93585179035004,4.841953562525748,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-01,0,q = 0: Richness,44,38,51,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-01,1,q = 1: Exponential Shannon,8.325961638502616,7.462480264301291,9.149597067263052,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-01,2,q = 2: Inverse Simpson,4.245411342121954,3.8838022761975073,4.708678245630338,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-02,0,q = 0: Richness,45.5,39.34166666666667,51,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-02,1,q = 1: Exponential Shannon,11.618110683980568,10.410184742762123,12.849702960853339,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-02,2,q = 2: Inverse Simpson,6.603764413915028,6.000875119329677,7.186967957371484,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-08,0,q = 0: Richness,29,25,33,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-08,1,q = 1: Exponential Shannon,12.899896914169382,11.478102254675987,14.548001844397785,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-08,2,q = 2: Inverse Simpson,8.471386252342665,7.608770306905626,9.379907042494859,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-09,0,q = 0: Richness,69,60,77,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-09,1,q = 1: Exponential Shannon,7.8528584494768054,7.277006190261647,8.482061612686072,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-09,2,q = 2: Inverse Simpson,4.493175405527239,4.230093558901487,4.7743738881168065,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-10,0,q = 0: Richness,71,63,79,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-10,1,q = 1: Exponential Shannon,7.298456060331484,6.748053228724139,7.8965152951314215,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-10,2,q = 2: Inverse Simpson,4.051169926806952,3.7990836987466885,4.315130533631946,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-11,0,q = 0: Richness,57,50,63,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-11,1,q = 1: Exponential Shannon,7.005253430610956,6.4449487187920855,7.63965892375453,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-11,2,q = 2: Inverse Simpson,3.3688144175289887,3.1199223066274833,3.696582316667246,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-12,0,q = 0: Richness,45,39,51,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-12,1,q = 1: Exponential Shannon,6.572952865804583,5.86634351943811,7.360066646504163,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2022-12,2,q = 2: Inverse Simpson,3.150051801807773,2.8572520454099966,3.507864002060212,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-01,0,q = 0: Richness,45,39,51,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-01,1,q = 1: Exponential Shannon,6.6953974775382505,6.040700926535907,7.35884961220394,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-01,2,q = 2: Inverse Simpson,3.4321343742313406,3.176675750102314,3.7158630032330766,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-02,0,q = 0: Richness,67,60,73,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-02,1,q = 1: Exponential Shannon,6.507812934168191,5.933677282104514,7.085349635508556,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-02,2,q = 2: Inverse Simpson,3.2787325600248556,3.0822931967390437,3.52217033469498,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-03,0,q = 0: Richness,75,68,83,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-03,1,q = 1: Exponential Shannon,8.240075735366982,7.60968367416948,8.87770322323382,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-03,2,q = 2: Inverse Simpson,4.556338506254908,4.297485511389844,4.8204321399262975,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-04,0,q = 0: Richness,91,83,100,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-04,1,q = 1: Exponential Shannon,12.524321172165894,11.6652459216909,13.455016294085183,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-04,2,q = 2: Inverse Simpson,7.077465587572046,6.5561539271253615,7.694575665532642,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-05,0,q = 0: Richness,87,77.34166666666667,96,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-05,1,q = 1: Exponential Shannon,10.644213176887435,9.884806135121014,11.39193378062836,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-05,2,q = 2: Inverse Simpson,6.033867570404883,5.706604194655906,6.340355121292195,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-06,0,q = 0: Richness,87,79,95,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-06,1,q = 1: Exponential Shannon,8.437059829680168,7.667057266350954,9.438580869889297,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-06,2,q = 2: Inverse Simpson,4.27984064417149,3.9627751227956693,4.755740837816969,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-07,0,q = 0: Richness,67,60,75,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-07,1,q = 1: Exponential Shannon,12.61766060487501,11.061218271318769,14.444206101291076,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-07,2,q = 2: Inverse Simpson,5.937645659269718,5.151409258665655,7.198947467403633,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-08,0,q = 0: Richness,23,18,27,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-08,1,q = 1: Exponential Shannon,11.598506547884437,9.744804526299218,13.526008037350557,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-08,2,q = 2: Inverse Simpson,7.779248469319846,6.526031579047061,8.978626744599248,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-10,0,q = 0: Richness,39,34,44,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-10,1,q = 1: Exponential Shannon,12.173968674501864,10.685200698913537,13.63452930795124,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-10,2,q = 2: Inverse Simpson,6.464629234133969,5.695987562025977,7.29273312129429,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-11,0,q = 0: Richness,40,35,46,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-11,1,q = 1: Exponential Shannon,16.670610734644846,14.516972543054818,18.726379628365354,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,2023-11,2,q = 2: Inverse Simpson,9.546149226351865,8.16372403023674,11.054495028868152,,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
