method,weighting,q,q_label,component,component_label,estimate,lower_95,upper_95,n_months_used,method_label,method_class,result_type,reference_estimate,reference_lower_95,reference_upper_95,absolute_difference,percentage_difference
Primary_M3,equal_month,0,q = 0: Richness,gamma,Gamma,158,146,171,,Primary M3: species-aware,Reference,Monte Carlo,158,146,171,0,0
Primary_M3,equal_month,0,q = 0: Richness,beta,Beta,3.2185688753317576,3.007559591905509,3.4208988009161088,,Primary M3: species-aware,Reference,Monte Carlo,3.2185688753317576,3.007559591905509,3.4208988009161088,0,0
Primary_M3,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,8.795475448530865,8.089267838051015,9.46152788985623,,Primary M3: species-aware,Reference,Monte Carlo,8.795475448530865,8.089267838051015,9.46152788985623,0,0
Primary_M3,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,14.804727208050327,13.551244329964062,15.991237675223896,,Primary M3: species-aware,Reference,Monte Carlo,14.804727208050327,13.551244329964062,15.991237675223896,0,0
Primary_M3,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6834620768367494,1.6657846292562202,1.7028213091096434,,Primary M3: species-aware,Reference,Monte Carlo,1.6834620768367494,1.6657846292562202,1.7028213091096434,0,0
Primary_M3,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.711306722583864,4.414582779570715,5.004672524773394,,Primary M3: species-aware,Reference,Monte Carlo,4.711306722583864,4.414582779570715,5.004672524773394,0,0
Primary_M3,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.173918140714456,7.652672076004251,8.709989254362242,,Primary M3: species-aware,Reference,Monte Carlo,8.173918140714456,7.652672076004251,8.709989254362242,0,0
Primary_M3,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7333042293693333,1.7104691757222477,1.7610049975805646,,Primary M3: species-aware,Reference,Monte Carlo,1.7333042293693333,1.7104691757222477,1.7610049975805646,0,0
Primary_M2,abundance_weighted,0,q = 0: Richness,alpha,Alpha,78.3714617646195,75.63563835099491,81.1325886549362,,Primary M2: pooled,Probability sensitivity,Monte Carlo,64.89273575716882,59.6376542253594,70.82358656683046,13.478726007450675,20.770777884736734
Primary_M2,abundance_weighted,0,q = 0: Richness,gamma,Gamma,193,185,202,,Primary M2: pooled,Probability sensitivity,Monte Carlo,158,146,171,35,22.151898734177223
Primary_M2,abundance_weighted,0,q = 0: Richness,beta,Beta,2.4650241446428574,2.3643914276666855,2.5603064085724543,,Primary M2: pooled,Probability sensitivity,Monte Carlo,2.4348466587053883,2.2913519022235174,2.5900440640066766,0.03017748593746905,1.239399854178691
Primary_M2,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,10.418835552807117,10.16198907405203,10.684872970063353,,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.357963561553692,7.7319852070856205,8.94231429926769,2.060871991253425,24.65758526076083
Primary_M2,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,16.16913746456752,15.777352622560763,16.565425379076714,,Primary M2: pooled,Probability sensitivity,Monte Carlo,12.585331787444549,11.62457588208043,13.482007726076656,3.583805677122971,28.476052420789323
Primary_M2,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5518389467658993,1.5440289693540097,1.5595354158627122,,Primary M2: pooled,Probability sensitivity,Monte Carlo,1.5059491845289892,1.4944891137745024,1.5168333280687012,0.0458897622369101,3.0472317863276865
Primary_M2,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,5.105436884511388,5.006688179032166,5.2019594244726575,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.528490793776457,4.282074521169717,4.768500657875413,0.5769460907349311,12.740361347931483
Primary_M2,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,8.32341312723046,8.161474216201183,8.490201864866988,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.300994171657835,6.8795350580402905,7.700285821034171,1.0224189555726246,14.003831964989288
Primary_M2,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6303022927680166,1.6215563327798157,1.6396647816331158,,Primary M2: pooled,Probability sensitivity,Monte Carlo,1.6121360412475216,1.578859179893109,1.641193723650042,0.018166251520495003,1.1268435824086875
Primary_M2,equal_month,0,q = 0: Richness,alpha,Alpha,58.826086956521735,56.927898550724635,60.724275362318835,,Primary M2: pooled,Probability sensitivity,Monte Carlo,49.130434782608695,45.17391304347826,53.565217391304344,9.69565217391304,19.734513274336287
Primary_M2,equal_month,0,q = 0: Richness,gamma,Gamma,193,185,202,,Primary M2: pooled,Probability sensitivity,Monte Carlo,158,146,171,35,22.151898734177223
Primary_M2,equal_month,0,q = 0: Richness,beta,Beta,3.2845238095238094,3.1578267464764913,3.4184455443556483,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.2185688753317576,3.007559591905509,3.4208988009161088,0.06595493419205178,2.0492006462112355
Primary_M2,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,11.18790442138537,10.845507303518636,11.515677536905628,,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.795475448530865,8.089267838051015,9.46152788985623,2.392428972854505,27.200678199313487
Primary_M2,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,19.839855217451877,19.232473763266505,20.429902574749804,,Primary M2: pooled,Probability sensitivity,Monte Carlo,14.804727208050327,13.551244329964062,15.991237675223896,5.03512800940155,34.01027211540657
Primary_M2,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7725531200514952,1.752410678956302,1.7945658468838324,,Primary M2: pooled,Probability sensitivity,Monte Carlo,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.08909104321474581,5.292132471564148
Primary_M2,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,5.438649548949653,5.308884390660818,5.5751992940959925,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.711306722583864,4.414582779570715,5.004672524773394,0.7273428263657884,15.438239732497937
Primary_M2,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,9.653199044999448,9.414028232718277,9.893507918567417,,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.173918140714456,7.652672076004251,8.709989254362242,1.4792809042849928,18.097574245534265
Primary_M2,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7748317360051304,1.7528062490057565,1.7967875716008723,,Primary M2: pooled,Probability sensitivity,Monte Carlo,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.041527506635797184,2.3958579187744355
Audio_only,abundance_weighted,0,q = 0: Richness,alpha,Alpha,71.55993715957052,66.7307001755301,76.38222045263423,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,64.89273575716882,59.6376542253594,70.82358656683046,6.667201402401702,10.274187587576256
Audio_only,abundance_weighted,0,q = 0: Richness,gamma,Gamma,172,160,183,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,158,146,171,14,8.860759493670889
Audio_only,abundance_weighted,0,q = 0: Richness,beta,Beta,2.3946016841437263,2.2664867685996524,2.5273487864562694,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,2.4348466587053883,2.2913519022235174,2.5900440640066766,-0.040244974561661984,-1.6528751171156042
Audio_only,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.930933446040026,8.351645401691007,9.541296828154207,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,8.357963561553692,7.7319852070856205,8.94231429926769,0.5729698844863336,6.855376674791613
Audio_only,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,13.523063661911486,12.614363319277704,14.472322454902482,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,12.585331787444549,11.62457588208043,13.482007726076656,0.9377318744669374,7.450990488804132
Audio_only,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5144329088372062,1.5054185426962605,1.526086882897825,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,1.5059491845289892,1.4944891137745024,1.5168333280687012,0.008483724308216978,0.5633473157907742
Audio_only,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.6938896021374115,4.457832679707558,4.956985587220709,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,4.528490793776457,4.282074521169717,4.768500657875413,0.16539880836095477,3.652404650756136
Audio_only,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.557649244863903,7.155982375306509,8.016423017009505,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,7.300994171657835,6.8795350580402905,7.700285821034171,0.2566550732060682,3.5153441732961976
Audio_only,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6107579288613045,1.58316720125899,1.6414949011503839,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,1.6121360412475216,1.578859179893109,1.641193723650042,-0.0013781123862171007,-0.08548362861180436
Audio_only,equal_month,0,q = 0: Richness,alpha,Alpha,54.21739130434783,50.65217391304348,57.826086956521735,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,49.130434782608695,45.17391304347826,53.565217391304344,5.086956521739133,10.353982300884956
Audio_only,equal_month,0,q = 0: Richness,gamma,Gamma,172,160,183,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,158,146,171,14,8.860759493670889
Audio_only,equal_month,0,q = 0: Richness,beta,Beta,3.156862745098039,2.9795615844252143,3.3366321862907684,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.061706130233718515,-1.917191541453589
Audio_only,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,9.456627154380145,8.7775924969819,10.122691570330076,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,8.795475448530865,8.089267838051015,9.46152788985623,0.6611517058492797,7.5169524344441685
Audio_only,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,16.07445156732285,14.916256388055755,17.23889104043403,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,14.804727208050327,13.551244329964062,15.991237675223896,1.269724359272523,8.576479265231507
Audio_only,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6985835309276975,1.6826868979607261,1.717895747778908,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.015121454090948117,0.8982355052132629
Audio_only,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.896394403046523,4.601190784991196,5.203970965313622,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,4.711306722583864,4.414582779570715,5.004672524773394,0.1850876804626589,3.928584814387759
Audio_only,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.500701280802447,7.962635152814553,9.048533473724074,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,8.173918140714456,7.652672076004251,8.709989254362242,0.3267831400879917,3.9978763484341595
Audio_only,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7344951392239105,1.7129216854063394,1.761903035356081,,Audio-only sensitivity,Probability sensitivity,Monte Carlo,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.00119090985457726,0.06870749141427712
Naive,abundance_weighted,0,q = 0: Richness,alpha,Alpha,103.99140295762777,103.99140295762777,103.99140295762777,23,Naive: all candidates,Deterministic,Point estimate,64.89273575716882,59.6376542253594,70.82358656683046,39.09866720045895,60.251223413923704
Naive,abundance_weighted,0,q = 0: Richness,gamma,Gamma,229,229,229,23,Naive: all candidates,Deterministic,Point estimate,158,146,171,71,44.93670886075949
Naive,abundance_weighted,0,q = 0: Richness,beta,Beta,2.2021051114514543,2.2021051114514543,2.2021051114514543,23,Naive: all candidates,Deterministic,Point estimate,2.4348466587053883,2.2913519022235174,2.5900440640066766,-0.23274154725393403,-9.558776378044398
Naive,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,13.12257809205097,13.12257809205097,13.12257809205097,23,Naive: all candidates,Deterministic,Point estimate,8.357963561553692,7.7319852070856205,8.94231429926769,4.764614530497278,57.006883260586584
Naive,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,20.0964241102454,20.0964241102454,20.0964241102454,23,Naive: all candidates,Deterministic,Point estimate,12.585331787444549,11.62457588208043,13.482007726076656,7.511092322800852,59.68132147532346
Naive,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5314387134353464,1.5314387134353464,1.5314387134353464,23,Naive: all candidates,Deterministic,Point estimate,1.5059491845289892,1.4944891137745024,1.5168333280687012,0.02548952890635725,1.692588911247328
Naive,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,6.0793236668285076,6.0793236668285076,6.0793236668285076,23,Naive: all candidates,Deterministic,Point estimate,4.528490793776457,4.282074521169717,4.768500657875413,1.5508328730520509,34.24613063547295
Naive,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,9.940575761990054,9.940575761990054,9.940575761990054,23,Naive: all candidates,Deterministic,Point estimate,7.300994171657835,6.8795350580402905,7.700285821034171,2.6395815903322193,36.15372822209568
Naive,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.635145010658053,1.635145010658053,1.635145010658053,23,Naive: all candidates,Deterministic,Point estimate,1.6121360412475216,1.578859179893109,1.641193723650042,0.02300896941053132,1.427234974086078
Naive,equal_month,0,q = 0: Richness,alpha,Alpha,79.08695652173913,79.08695652173913,79.08695652173913,23,Naive: all candidates,Deterministic,Point estimate,49.130434782608695,45.17391304347826,53.565217391304344,29.95652173913043,60.973451327433615
Naive,equal_month,0,q = 0: Richness,gamma,Gamma,229,229,229,23,Naive: all candidates,Deterministic,Point estimate,158,146,171,71,44.93670886075949
Naive,equal_month,0,q = 0: Richness,beta,Beta,2.8955470038482685,2.8955470038482685,2.8955470038482685,23,Naive: all candidates,Deterministic,Point estimate,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.32302187148348915,-10.036195712922048
Naive,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,14.17018038339599,14.17018038339599,14.17018038339599,23,Naive: all candidates,Deterministic,Point estimate,8.795475448530865,8.089267838051015,9.46152788985623,5.374704934865125,61.107611138439125
Naive,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,24.471954200303742,24.471954200303742,24.471954200303742,23,Naive: all candidates,Deterministic,Point estimate,14.804727208050327,13.551244329964062,15.991237675223896,9.667226992253415,65.2982446511861
Naive,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7270037175376347,1.7270037175376347,1.7270037175376347,23,Naive: all candidates,Deterministic,Point estimate,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.04354164070088529,2.5864343070145512
Naive,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.5891364077847605,6.5891364077847605,6.5891364077847605,23,Naive: all candidates,Deterministic,Point estimate,4.711306722583864,4.414582779570715,5.004672524773394,1.8778296852008962,39.85793742104357
Naive,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,11.648800712381304,11.648800712381304,11.648800712381304,23,Naive: all candidates,Deterministic,Point estimate,8.173918140714456,7.652672076004251,8.709989254362242,3.474882571666848,42.511834738818656
Naive,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7678797328613176,1.7678797328613176,1.7678797328613176,23,Naive: all candidates,Deterministic,Point estimate,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.03457550349198435,1.9947740798258229
Hard_top1,abundance_weighted,0,q = 0: Richness,alpha,Alpha,102.29403766507775,102.29403766507775,102.29403766507775,23,Hard top-1,Deterministic,Point estimate,64.89273575716882,59.6376542253594,70.82358656683046,37.40130190790893,57.635575802915874
Hard_top1,abundance_weighted,0,q = 0: Richness,gamma,Gamma,226,226,226,23,Hard top-1,Deterministic,Point estimate,158,146,171,68,43.03797468354431
Hard_top1,abundance_weighted,0,q = 0: Richness,beta,Beta,2.2093174261040467,2.2093174261040467,2.2093174261040467,23,Hard top-1,Deterministic,Point estimate,2.4348466587053883,2.2913519022235174,2.5900440640066766,-0.2255292326013416,-9.262564104191096
Hard_top1,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,12.706907934455634,12.706907934455634,12.706907934455634,23,Hard top-1,Deterministic,Point estimate,8.357963561553692,7.7319852070856205,8.94231429926769,4.348944372901942,52.03354071686692
Hard_top1,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,19.476195883882955,19.476195883882955,19.476195883882955,23,Hard top-1,Deterministic,Point estimate,12.585331787444549,11.62457588208043,13.482007726076656,6.890864096438406,54.753138119989096
Hard_top1,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5327250330563853,1.5327250330563853,1.5327250330563853,23,Hard top-1,Deterministic,Point estimate,1.5059491845289892,1.4944891137745024,1.5168333280687012,0.026775848527396118,1.7780047827955503
Hard_top1,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,5.9220808436629895,5.9220808436629895,5.9220808436629895,23,Hard top-1,Deterministic,Point estimate,4.528490793776457,4.282074521169717,4.768500657875413,1.3935900498865328,30.773829811065422
Hard_top1,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,9.692398593686566,9.692398593686566,9.692398593686566,23,Hard top-1,Deterministic,Point estimate,7.300994171657835,6.8795350580402905,7.700285821034171,2.3914044220287307,32.7545039182755
Hard_top1,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6366542182648622,1.6366542182648622,1.6366542182648622,23,Hard top-1,Deterministic,Point estimate,1.6121360412475216,1.578859179893109,1.641193723650042,0.024518177017340603,1.5208503742877522
Hard_top1,equal_month,0,q = 0: Richness,alpha,Alpha,77.78260869565217,77.78260869565217,77.78260869565217,23,Hard top-1,Deterministic,Point estimate,49.130434782608695,45.17391304347826,53.565217391304344,28.652173913043477,58.31858407079646
Hard_top1,equal_month,0,q = 0: Richness,gamma,Gamma,226,226,226,23,Hard top-1,Deterministic,Point estimate,158,146,171,68,43.03797468354431
Hard_top1,equal_month,0,q = 0: Richness,beta,Beta,2.9055338177752934,2.9055338177752934,2.9055338177752934,23,Hard top-1,Deterministic,Point estimate,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.3130350575564642,-9.725908305261843
Hard_top1,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,13.681239223543969,13.681239223543969,13.681239223543969,23,Hard top-1,Deterministic,Point estimate,8.795475448530865,8.089267838051015,9.46152788985623,4.885763775013103,55.548603410963835
Hard_top1,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,23.602452978527932,23.602452978527932,23.602452978527932,23,Hard top-1,Deterministic,Point estimate,14.804727208050327,13.551244329964062,15.991237675223896,8.797725770477605,59.42511230935541
Hard_top1,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.725169233055336,1.725169233055336,1.725169233055336,23,Hard top-1,Deterministic,Point estimate,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.04170715621858667,2.4774633650765043
Hard_top1,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.381189997324206,6.381189997324206,6.381189997324206,23,Hard top-1,Deterministic,Point estimate,4.711306722583864,4.414582779570715,5.004672524773394,1.669883274740342,35.44416386086009
Hard_top1,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,11.27861192926676,11.27861192926676,11.27861192926676,23,Hard top-1,Deterministic,Point estimate,8.173918140714456,7.652672076004251,8.709989254362242,3.1046937885523036,37.98293223769589
Hard_top1,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7674778425334718,1.7674778425334718,1.7674778425334718,23,Hard top-1,Deterministic,Point estimate,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.03417361316413858,1.9715877100566992
Threshold_0.50,abundance_weighted,0,q = 0: Richness,alpha,Alpha,92.42832594736366,92.42832594736366,92.42832594736366,23,Threshold >= 0.50,Deterministic,Point estimate,64.89273575716882,59.6376542253594,70.82358656683046,27.53559019019484,42.43246931865241
Threshold_0.50,abundance_weighted,0,q = 0: Richness,gamma,Gamma,217,217,217,23,Threshold >= 0.50,Deterministic,Point estimate,158,146,171,59,37.34177215189873
Threshold_0.50,abundance_weighted,0,q = 0: Richness,beta,Beta,2.3477651226051393,2.3477651226051393,2.3477651226051393,23,Threshold >= 0.50,Deterministic,Point estimate,2.4348466587053883,2.2913519022235174,2.5900440640066766,-0.08708153610024905,-3.5764690063295634
Threshold_0.50,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,11.78673007984829,11.78673007984829,11.78673007984829,23,Threshold >= 0.50,Deterministic,Point estimate,8.357963561553692,7.7319852070856205,8.94231429926769,3.428766518294598,41.02394671911218
Threshold_0.50,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,18.120743400909827,18.120743400909827,18.120743400909827,23,Threshold >= 0.50,Deterministic,Point estimate,12.585331787444549,11.62457588208043,13.482007726076656,5.535411613465278,43.983040788702496
Threshold_0.50,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5373851168349708,1.5373851168349708,1.5373851168349708,23,Threshold >= 0.50,Deterministic,Point estimate,1.5059491845289892,1.4944891137745024,1.5168333280687012,0.03143593230598163,2.087449737941438
Threshold_0.50,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,5.646238912522326,5.646238912522326,5.646238912522326,23,Threshold >= 0.50,Deterministic,Point estimate,4.528490793776457,4.282074521169717,4.768500657875413,1.1177481187458689,24.68257460701917
Threshold_0.50,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,9.156997173874071,9.156997173874071,9.156997173874071,23,Threshold >= 0.50,Deterministic,Point estimate,7.300994171657835,6.8795350580402905,7.700285821034171,1.8560030022162364,25.421236595711385
Threshold_0.50,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.621787054310707,1.621787054310707,1.621787054310707,23,Threshold >= 0.50,Deterministic,Point estimate,1.6121360412475216,1.578859179893109,1.641193723650042,0.009651013063185276,0.5986475592789864
Threshold_0.50,equal_month,0,q = 0: Richness,alpha,Alpha,70,70,70,23,Threshold >= 0.50,Deterministic,Point estimate,49.130434782608695,45.17391304347826,53.565217391304344,20.869565217391305,42.47787610619469
Threshold_0.50,equal_month,0,q = 0: Richness,gamma,Gamma,217,217,217,23,Threshold >= 0.50,Deterministic,Point estimate,158,146,171,59,37.34177215189873
Threshold_0.50,equal_month,0,q = 0: Richness,beta,Beta,3.1,3.1,3.1,23,Threshold >= 0.50,Deterministic,Point estimate,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.11856887533175753,-3.6839005136882763
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,12.651658369033935,12.651658369033935,12.651658369033935,23,Threshold >= 0.50,Deterministic,Point estimate,8.795475448530865,8.089267838051015,9.46152788985623,3.8561829205030698,43.842802393896505
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,22.02162973169414,22.02162973169414,22.02162973169414,23,Threshold >= 0.50,Deterministic,Point estimate,14.804727208050327,13.551244329964062,15.991237675223896,7.216902523643814,48.74728471673222
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7406121070731762,1.7406121070731762,1.7406121070731762,23,Threshold >= 0.50,Deterministic,Point estimate,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.05715003023642673,3.394791663131036
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.039089272392237,6.039089272392237,6.039089272392237,23,Threshold >= 0.50,Deterministic,Point estimate,4.711306722583864,4.414582779570715,5.004672524773394,1.327782549808373,28.182893366793273
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,10.658927047155771,10.658927047155771,10.658927047155771,23,Threshold >= 0.50,Deterministic,Point estimate,8.173918140714456,7.652672076004251,8.709989254362242,2.4850089064413154,30.401685748031106
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7649891509110773,1.7649891509110773,1.7649891509110773,23,Threshold >= 0.50,Deterministic,Point estimate,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.03168492154174407,1.8280069363975748
Threshold_0.70,abundance_weighted,0,q = 0: Richness,alpha,Alpha,54.79531260723355,54.79531260723355,54.79531260723355,23,Threshold >= 0.70,Deterministic,Point estimate,64.89273575716882,59.6376542253594,70.82358656683046,-10.097423149935274,-15.56017485180503
Threshold_0.70,abundance_weighted,0,q = 0: Richness,gamma,Gamma,148,148,148,23,Threshold >= 0.70,Deterministic,Point estimate,158,146,171,-10,-6.329113924050633
Threshold_0.70,abundance_weighted,0,q = 0: Richness,beta,Beta,2.7009609573878492,2.7009609573878492,2.7009609573878492,23,Threshold >= 0.70,Deterministic,Point estimate,2.4348466587053883,2.2913519022235174,2.5900440640066766,0.26611429868246095,10.92940689841857
Threshold_0.70,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,7.644829710050455,7.644829710050455,7.644829710050455,23,Threshold >= 0.70,Deterministic,Point estimate,8.357963561553692,7.7319852070856205,8.94231429926769,-0.7131338515032368,-8.532387659400964
Threshold_0.70,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,11.843350669717827,11.843350669717827,11.843350669717827,23,Threshold >= 0.70,Deterministic,Point estimate,12.585331787444549,11.62457588208043,13.482007726076656,-0.7419811177267217,-5.895602358826501
Threshold_0.70,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.549197447020656,1.549197447020656,1.549197447020656,23,Threshold >= 0.70,Deterministic,Point estimate,1.5059491845289892,1.4944891137745024,1.5168333280687012,0.0432482624916668,2.871827478374933
