method,weighting,q,q_label,component,component_label,estimate,lower_95,upper_95,n_months_used,method_label,method_class,result_type
Naive,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5314387134353464,1.5314387134353464,1.5314387134353464,23,Naive: all candidates,Deterministic,Point estimate
Naive,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,6.0793236668285076,6.0793236668285076,6.0793236668285076,23,Naive: all candidates,Deterministic,Point estimate
Naive,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,9.940575761990054,9.940575761990054,9.940575761990054,23,Naive: all candidates,Deterministic,Point estimate
Naive,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.635145010658053,1.635145010658053,1.635145010658053,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,0,q = 0: Richness,alpha,Alpha,79.08695652173913,79.08695652173913,79.08695652173913,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,0,q = 0: Richness,gamma,Gamma,229,229,229,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,0,q = 0: Richness,beta,Beta,2.8955470038482685,2.8955470038482685,2.8955470038482685,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,14.17018038339599,14.17018038339599,14.17018038339599,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,24.471954200303742,24.471954200303742,24.471954200303742,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7270037175376347,1.7270037175376347,1.7270037175376347,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.5891364077847605,6.5891364077847605,6.5891364077847605,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,11.648800712381304,11.648800712381304,11.648800712381304,23,Naive: all candidates,Deterministic,Point estimate
Naive,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7678797328613176,1.7678797328613176,1.7678797328613176,23,Naive: all candidates,Deterministic,Point estimate
Hard_top1,abundance_weighted,0,q = 0: Richness,alpha,Alpha,102.29403766507775,102.29403766507775,102.29403766507775,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,0,q = 0: Richness,gamma,Gamma,226,226,226,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,0,q = 0: Richness,beta,Beta,2.2093174261040467,2.2093174261040467,2.2093174261040467,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,12.706907934455634,12.706907934455634,12.706907934455634,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,19.476195883882955,19.476195883882955,19.476195883882955,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5327250330563853,1.5327250330563853,1.5327250330563853,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,5.9220808436629895,5.9220808436629895,5.9220808436629895,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,9.692398593686566,9.692398593686566,9.692398593686566,23,Hard top-1,Deterministic,Point estimate
Hard_top1,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6366542182648622,1.6366542182648622,1.6366542182648622,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,0,q = 0: Richness,alpha,Alpha,77.78260869565217,77.78260869565217,77.78260869565217,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,0,q = 0: Richness,gamma,Gamma,226,226,226,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,0,q = 0: Richness,beta,Beta,2.9055338177752934,2.9055338177752934,2.9055338177752934,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,13.681239223543969,13.681239223543969,13.681239223543969,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,23.602452978527932,23.602452978527932,23.602452978527932,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.725169233055336,1.725169233055336,1.725169233055336,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.381189997324206,6.381189997324206,6.381189997324206,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,11.27861192926676,11.27861192926676,11.27861192926676,23,Hard top-1,Deterministic,Point estimate
Hard_top1,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7674778425334718,1.7674778425334718,1.7674778425334718,23,Hard top-1,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,0,q = 0: Richness,alpha,Alpha,92.42832594736366,92.42832594736366,92.42832594736366,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,0,q = 0: Richness,gamma,Gamma,217,217,217,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,0,q = 0: Richness,beta,Beta,2.3477651226051393,2.3477651226051393,2.3477651226051393,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,11.78673007984829,11.78673007984829,11.78673007984829,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,18.120743400909827,18.120743400909827,18.120743400909827,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5373851168349708,1.5373851168349708,1.5373851168349708,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,5.646238912522326,5.646238912522326,5.646238912522326,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,9.156997173874071,9.156997173874071,9.156997173874071,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.621787054310707,1.621787054310707,1.621787054310707,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,0,q = 0: Richness,alpha,Alpha,70,70,70,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,0,q = 0: Richness,gamma,Gamma,217,217,217,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,0,q = 0: Richness,beta,Beta,3.1,3.1,3.1,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,12.651658369033935,12.651658369033935,12.651658369033935,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,22.02162973169414,22.02162973169414,22.02162973169414,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7406121070731762,1.7406121070731762,1.7406121070731762,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.039089272392237,6.039089272392237,6.039089272392237,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,10.658927047155771,10.658927047155771,10.658927047155771,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7649891509110773,1.7649891509110773,1.7649891509110773,23,Threshold >= 0.50,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,0,q = 0: Richness,alpha,Alpha,54.79531260723355,54.79531260723355,54.79531260723355,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,0,q = 0: Richness,gamma,Gamma,148,148,148,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,0,q = 0: Richness,beta,Beta,2.7009609573878492,2.7009609573878492,2.7009609573878492,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,7.644829710050455,7.644829710050455,7.644829710050455,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,11.843350669717827,11.843350669717827,11.843350669717827,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.549197447020656,1.549197447020656,1.549197447020656,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.119422677706425,4.119422677706425,4.119422677706425,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,6.603721294549213,6.603721294549213,6.603721294549213,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.603069607371772,1.603069607371772,1.603069607371772,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,0,q = 0: Richness,alpha,Alpha,40.78260869565217,40.78260869565217,40.78260869565217,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,0,q = 0: Richness,gamma,Gamma,148,148,148,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,0,q = 0: Richness,beta,Beta,3.628997867803838,3.628997867803838,3.628997867803838,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,8.030046100999298,8.030046100999298,8.030046100999298,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,14.284051230568721,14.284051230568721,14.284051230568721,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.778825557276831,1.778825557276831,1.778825557276831,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.3021499308221,4.3021499308221,4.3021499308221,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,7.61991842561421,7.61991842561421,7.61991842561421,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.70,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7711884867197354,1.7711884867197354,1.7711884867197354,23,Threshold >= 0.70,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,0,q = 0: Richness,alpha,Alpha,22.598408043569332,22.598408043569332,22.598408043569332,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,0,q = 0: Richness,gamma,Gamma,65,65,65,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,0,q = 0: Richness,beta,Beta,2.876308803464436,2.876308803464436,2.876308803464436,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,4.349722488054715,4.349722488054715,4.349722488054715,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,6.928352970604713,6.928352970604713,6.928352970604713,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5928264365442806,1.5928264365442806,1.5928264365442806,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,2.7631073891718017,2.7631073891718017,2.7631073891718017,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,4.608240638268337,4.608240638268337,4.608240638268337,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6677747149196345,1.6677747149196345,1.6677747149196345,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,0,q = 0: Richness,alpha,Alpha,16.434782608695652,16.434782608695652,16.434782608695652,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,0,q = 0: Richness,gamma,Gamma,65,65,65,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,0,q = 0: Richness,beta,Beta,3.955026455026455,3.955026455026455,3.955026455026455,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,4.485246734097785,4.485246734097785,4.485246734097785,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,8.591339654993858,8.591339654993858,8.591339654993858,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.9154664535354753,1.9154664535354753,1.9154664535354753,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,2.8591415275843657,2.8591415275843657,2.8591415275843657,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,5.539681166620365,5.539681166620365,5.539681166620365,23,Threshold >= 0.90,Deterministic,Point estimate
Threshold_0.90,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.937533036813584,1.937533036813584,1.937533036813584,23,Threshold >= 0.90,Deterministic,Point estimate
