method,method_label,weighting,q,q_label,component,component_label,estimate,lower_95,upper_95,high_reference,high_reference_lower,high_reference_upper,absolute_difference,percentage_difference,month_set
Threshold_0.70,Threshold >= 0.70,equal_month,0,q = 0: Richness,alpha,Alpha,50.64285714285714,50.64285714285714,50.64285714285714,59.92857142857142,55.07142857142857,65.5,-9.285714285714285,-15.494636471990464,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,0,q = 0: Richness,gamma,Gamma,145,145,145,152,140,164.6583333333333,-7,-4.6052631578947345,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,0,q = 0: Richness,beta,Beta,2.8631875881523277,2.8631875881523277,2.8631875881523277,2.538105049777618,2.3827351218008017,2.693396335535409,0.3250825383747098,12.808080516730103,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,7.476907218698258,7.476907218698258,7.476907218698258,7.983176472755789,7.356628367473946,8.570098375052298,-0.5062692540575302,-6.341701900055408,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,11.775603237039466,11.775603237039466,11.775603237039466,12.100075890405058,11.15158123366408,12.989077411079851,-0.32447265336559283,-2.6815753579106705,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.5749296992198891,1.5749296992198891,1.5749296992198891,1.5161126495950117,1.504678249225814,1.5278508659822925,0.05881704962487744,3.8794643419530095,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,3.8717824300411636,3.8717824300411636,3.8717824300411636,4.180177284055988,3.92193030765939,4.4335107291833316,-0.30839485401482447,-7.37755442074437,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,6.189771338328913,6.189771338328913,6.189771338328913,6.624578408637255,6.213216628936385,7.009089299268175,-0.4348070703083424,-6.56354327003561,Higher represented coverage
Threshold_0.70,Threshold >= 0.70,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.5986878008181635,1.5986878008181635,1.5986878008181635,1.5839922953907202,1.5546389773927174,1.6060663786261813,0.014695505427443356,0.9277510673635136,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,0,q = 0: Richness,alpha,Alpha,20.857142857142854,20.857142857142854,20.857142857142854,59.92857142857142,55.07142857142857,65.5,-39.07142857142857,-65.19666269368297,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,0,q = 0: Richness,gamma,Gamma,58,58,58,152,140,164.6583333333333,-94,-61.8421052631579,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,0,q = 0: Richness,beta,Beta,2.7808219178082196,2.7808219178082196,2.7808219178082196,2.538105049777618,2.3827351218008017,2.693396335535409,0.24271686803060177,9.562916556659772,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,4.507289201136776,4.507289201136776,4.507289201136776,7.983176472755789,7.356628367473946,8.570098375052298,-3.475887271619013,-43.54015326457061,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,7.527808761701567,7.527808761701567,7.527808761701567,12.100075890405058,11.15158123366408,12.989077411079851,-4.5722671287034915,-37.78709464400253,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6701410594649642,1.6701410594649642,1.6701410594649642,1.5161126495950117,1.504678249225814,1.5278508659822925,0.15402840986995248,10.159430429598814,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,2.7106772727799346,2.7106772727799346,2.7106772727799346,4.180177284055988,3.92193030765939,4.4335107291833316,-1.4695000112760535,-35.15401169421721,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,4.570387449172221,4.570387449172221,4.570387449172221,6.624578408637255,6.213216628936385,7.009089299268175,-2.054190959465034,-31.00862927045651,Higher represented coverage
Threshold_0.90,Threshold >= 0.90,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.6860684578968934,1.6860684578968934,1.6860684578968934,1.5839922953907202,1.5546389773927174,1.6060663786261813,0.10207616250617324,6.4442335233072745,Higher represented coverage
