method,method_label,q,q_label,component,component_label,all_estimate,all_reference,all_percentage_difference,high_estimate,high_reference,high_percentage_difference,absolute_percentage_difference_change_points,direction_stable
Hard_top1,Hard top-1,1,q = 1: Exponential Shannon,beta,Beta,1.725169233055336,1.6834620768367494,2.4774633650765043,1.5255867203269968,1.5161126495950117,0.6248922686922898,1.8525710963842144,TRUE
Hard_top1,Hard top-1,1,q = 1: Exponential Shannon,gamma,Gamma,23.602452978527932,14.804727208050329,59.42511230935541,18.726151268155657,12.100075890405058,54.760610080180136,4.664502229175277,TRUE
Hard_top1,Hard top-1,2,q = 2: Inverse Simpson,alpha,Alpha,6.381189997324206,4.711306722583864,35.44416386086009,5.513676355568866,4.180177284055988,31.90053868287126,3.543625177988826,TRUE
Hard_top1,Hard top-1,2,q = 2: Inverse Simpson,beta,Beta,1.7674778425334718,1.7333042293693333,1.9715877100566992,1.5926608847018302,1.5839922953907202,0.5472620881007417,1.4243256219559577,TRUE
Hard_top1,Hard top-1,2,q = 2: Inverse Simpson,gamma,Gamma,11.27861192926676,8.173918140714456,37.98293223769589,8.781416662419874,6.624578408637255,32.5581209963564,5.424811241339491,TRUE
Threshold_0.50,Threshold >= 0.50,0,q = 0: Richness,alpha,Alpha,70,49.130434782608695,42.47787610619469,85.78571428571428,59.92857142857142,43.14660309892729,0.6687269927325943,TRUE
Threshold_0.50,Threshold >= 0.50,0,q = 0: Richness,beta,Beta,3.1,3.2185688753317576,-3.683900513688276,2.4363030807660286,2.538105049777618,-4.010943874072859,0.32704336038458237,TRUE
Threshold_0.50,Threshold >= 0.50,0,q = 0: Richness,gamma,Gamma,217,158,37.34177215189873,209,152,37.5,0.15822784810126933,TRUE
Threshold_0.50,Threshold >= 0.50,1,q = 1: Exponential Shannon,alpha,Alpha,12.651658369033935,8.795475448530865,43.842802393896505,11.443128822199643,7.983176472755789,43.340546977154325,0.5022554167421802,TRUE
Threshold_0.50,Threshold >= 0.50,1,q = 1: Exponential Shannon,beta,Beta,1.7406121070731762,1.6834620768367494,3.394791663131036,1.536103038138781,1.5161126495950117,1.318529236538546,2.07626242659249,TRUE
Threshold_0.50,Threshold >= 0.50,1,q = 1: Exponential Shannon,gamma,Gamma,22.02162973169414,14.804727208050329,48.74728471673222,17.577824949594323,12.100075890405058,45.270369448946425,3.4769152677857917,TRUE
Threshold_0.50,Threshold >= 0.50,2,q = 2: Inverse Simpson,alpha,Alpha,6.039089272392237,4.711306722583864,28.182893366793273,5.2785780399131514,4.180177284055988,26.276415597172843,1.9064777696204305,TRUE
Threshold_0.50,Threshold >= 0.50,2,q = 2: Inverse Simpson,beta,Beta,1.764989150911077,1.7333042293693333,1.8280069363975748,1.5881581295687874,1.5839922953907202,0.2629958611660932,1.5650110752314816,TRUE
Threshold_0.50,Threshold >= 0.50,2,q = 2: Inverse Simpson,gamma,Gamma,10.658927047155773,8.173918140714456,30.401685748031102,8.383216626651347,6.624578408637255,26.547171903364376,3.85451384466673,TRUE
Threshold_0.70,Threshold >= 0.70,0,q = 0: Richness,alpha,Alpha,40.78260869565217,49.130434782608695,-16.991150442477874,50.64285714285714,59.92857142857142,-15.494636471990464,1.4965139704874098,TRUE
Threshold_0.70,Threshold >= 0.70,0,q = 0: Richness,beta,Beta,3.628997867803838,3.2185688753317576,12.751909571292774,2.8631875881523277,2.538105049777618,12.808080516730104,0.05617094543732826,TRUE
Threshold_0.70,Threshold >= 0.70,0,q = 0: Richness,gamma,Gamma,148,158,-6.329113924050633,145,152,-4.6052631578947345,1.7238507661558984,TRUE
Threshold_0.70,Threshold >= 0.70,1,q = 1: Exponential Shannon,alpha,Alpha,8.030046100999298,8.795475448530865,-8.70253520700145,7.476907218698258,7.983176472755789,-6.341701900055408,2.3608333069460423,TRUE
Threshold_0.70,Threshold >= 0.70,1,q = 1: Exponential Shannon,beta,Beta,1.778825557276831,1.6834620768367494,5.6647240084713335,1.5749296992198891,1.5161126495950117,3.8794643419530095,1.785259666518324,TRUE
Threshold_0.70,Threshold >= 0.70,1,q = 1: Exponential Shannon,gamma,Gamma,14.28405123056872,14.804727208050329,-3.5169575917513685,11.775603237039466,12.100075890405058,-2.6815753579106705,0.835382233840698,TRUE
Threshold_0.70,Threshold >= 0.70,2,q = 2: Inverse Simpson,alpha,Alpha,4.3021499308221,4.711306722583864,-8.684571305885314,3.871782430041163,4.180177284055988,-7.37755442074437,1.3070168851409436,TRUE
Threshold_0.70,Threshold >= 0.70,2,q = 2: Inverse Simpson,beta,Beta,1.7711884867197354,1.7333042293693333,2.1856669307376286,1.5986878008181635,1.5839922953907202,0.9277510673635136,1.257915863374115,TRUE
Threshold_0.70,Threshold >= 0.70,2,q = 2: Inverse Simpson,gamma,Gamma,7.61991842561421,8.173918140714456,-6.777651862461919,6.189771338328913,6.624578408637255,-6.56354327003561,0.2141085924263093,TRUE
Threshold_0.90,Threshold >= 0.90,0,q = 0: Richness,alpha,Alpha,16.434782608695652,49.130434782608695,-66.54867256637168,20.857142857142858,59.92857142857142,-65.19666269368297,1.352009872688711,TRUE
Threshold_0.90,Threshold >= 0.90,0,q = 0: Richness,beta,Beta,3.955026455026455,3.2185688753317576,22.881523068813813,2.7808219178082196,2.538105049777618,9.562916556659772,13.31860651215404,TRUE
Threshold_0.90,Threshold >= 0.90,0,q = 0: Richness,gamma,Gamma,65,158,-58.86075949367089,58,152,-61.8421052631579,2.9813457694870067,TRUE
Threshold_0.90,Threshold >= 0.90,1,q = 1: Exponential Shannon,alpha,Alpha,4.485246734097785,8.795475448530865,-49.005067885818846,4.507289201136776,7.983176472755789,-43.54015326457061,5.464914621248234,TRUE
Threshold_0.90,Threshold >= 0.90,1,q = 1: Exponential Shannon,beta,Beta,1.9154664535354753,1.6834620768367494,13.781384201696168,1.6701410594649642,1.5161126495950117,10.159430429598814,3.6219537720973527,TRUE
Threshold_0.90,Threshold >= 0.90,1,q = 1: Exponential Shannon,gamma,Gamma,8.591339654993858,14.804727208050329,-41.96894320131634,7.527808761701567,12.100075890405058,-37.78709464400253,4.181848557313813,TRUE
Threshold_0.90,Threshold >= 0.90,2,q = 2: Inverse Simpson,alpha,Alpha,2.8591415275843657,4.711306722583864,-39.31319491726276,2.710677272779934,4.180177284055988,-35.15401169421721,4.159183223045552,TRUE
Threshold_0.90,Threshold >= 0.90,2,q = 2: Inverse Simpson,beta,Beta,1.937533036813584,1.7333042293693333,11.782629037867151,1.6860684578968934,1.5839922953907202,6.4442335233072745,5.3383955145598785,TRUE
Threshold_0.90,Threshold >= 0.90,2,q = 2: Inverse Simpson,gamma,Gamma,5.539681166620365,8.173918140714456,-32.22734713934682,4.570387449172221,6.624578408637255,-31.00862927045651,1.2187178688903089,TRUE
